数字付费,#genre#\\n
CCTV-4 中文国际（亚）,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226335/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EBFJ5gRpm8ntK8JEFPZOhLQ%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND###HLS\\n
CCTV-5+ 体育赛事,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226894/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EevWZ0zmguDsOY_Mf3SM5TA%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND###HLS\\n
CCTV-7 国防军事,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226946/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E2bEV_zkW1hRnWmsZq6rlbw%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND###HLS\\n
CCTV-9 纪录,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226944/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EgdZMBjOTdDWVEgovFkZoew%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND###HLS\\n
CCTV-10 科教,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226937/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7Egbbk6OxyTS2utbJWm7Qw1w%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND###HLS\\n
CCTV-11 戏曲,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226334/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E0RcQQbNseiHvFO8XWf466A%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND###HLS\\n
CCTV-12 社会与法,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226942/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E9nVa4WyKpuJgFy6Zh4TplQ%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND###HLS\\n
CCTV-13 新闻,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226316/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EqHPe9pEEWJ00hz1ArnRZVA%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND###HLS\\n
CCTV-14 少儿,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226947/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EgtTqPYLE5COifF-qvYi2Ig%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND###HLS\\n
CCTV-15 音乐,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226333/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EWyklhmFh7oMx-lG1tNUcSQ%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND###HLS\\n
CCTV-16 奥林匹克,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221227002/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EX9goLRw26BM_r54des2PAw%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND###HLS\\n
CCTV-17 农业农村,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226318/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EEkwQnoHNXRDb-IayWakK1A%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND###HLS\\n
CGTN记录,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221227006/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EYcJ3PdHkzUJtmPevi5x_2A%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND###HLS\\n
CGTN,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226987/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7Eb26wc0XXKkqPiVtXlNQMiQ%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND###HLS\\n
CGTN,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221227030/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EWR3JI0iklU2klIzSzhH6nA%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND###HLS\\n
CGTN法语,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221227034/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EnmNWt4gIKrkCWjuWofLapQ%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND###HLS\\n
CGTN阿语,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221227023/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EsOnjStoSIBiRDXRm4N42Zw%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND###HLS\\n
CGTN俄语,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221227038/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EnNP_kmf5g3OZQXDWZHNpOA%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND###HLS\\n
CGTN,https://0472.org/hls/cgtn.m3u8###HLS\\n
CGTN纪录,https://0472.org/hls/cgtnd.m3u8###HLS\\n
CGTN俄语,https://0472.org/hls/cgtne.m3u8###HLS\\n
CGTN法语,https://0472.org/hls/cgtnf.m3u8###HLS\\n
CGTN西语,https://0472.org/hls/cgtnx.m3u8###HLS\\n
CGTN阿语,https://0472.org/hls/cgtna.m3u8###HLS\\n
\\n
CCTV-1 综合,http://joyznm.i234.me:20000/udp/239.3.1.1:8000###des:720P###HLS\\n
CCTV-1 综合,http://joyznm.i234.me:20000/udp/239.3.1.129:8008###des:1080P###HLS\\n
CCTV-2 财经,http://joyznm.i234.me:20000/udp/239.3.1.2:8004###des:720P###HLS\\n
CCTV-2 财经,http://joyznm.i234.me:20000/udp/239.3.1.60:8084###des:1080P###HLS\\n
CCTV-3 综艺,http://joyznm.i234.me:20000/udp/239.3.1.107:8001###des:720P###HLS\\n
CCTV-3 综艺,http://joyznm.i234.me:20000/udp/239.3.1.172:8001###des:1080P###HLS\\n
CCTV-4 中文国际（亚）,http://joyznm.i234.me:20000/udp/239.3.1.4:8216###des:720P###HLS\\n
CCTV-4 中文国际（欧）,http://joyznm.i234.me:20000/udp/239.3.1.213:4220###des:1080P###HLS\\n
CCTV-4 中文国际（美）,http://joyznm.i234.me:20000/udp/239.3.1.214:4220###des:1080P###HLS\\n
CCTV-4 中文国际（亚）,http://joyznm.i234.me:20000/udp/239.3.1.105:8092###des:1080P###HLS\\n
CCTV-5 体育,http://joyznm.i234.me:20000/udp/239.3.1.108:8001###des:720P###HLS\\n
CCTV-5+ 体育赛事,http://joyznm.i234.me:20000/udp/239.3.1.130:8004###des:1080P###HLS\\n
CCTV-5 体育,http://joyznm.i234.me:20000/udp/239.3.1.173:8001###des:1080P###HLS\\n
CCTV-6 电影,http://joyznm.i234.me:20000/udp/239.3.1.109:8001###des:720P###HLS\\n
CCTV-6 电影,http://joyznm.i234.me:20000/udp/239.3.1.174:8001###des:1080P###HLS\\n
CCTV-7 国防军事,http://joyznm.i234.me:20000/udp/239.3.1.7:8024###des:720P###HLS\\n
CCTV-7 国防军事,http://joyznm.i234.me:20000/udp/239.3.1.61:8104###des:1080P###HLS\\n
CCTV-8 电视剧,http://joyznm.i234.me:20000/udp/239.3.1.110:8001###des:720P###HLS\\n
CCTV-8 电视剧,http://joyznm.i234.me:20000/udp/239.3.1.175:8001###des:1080P###HLS\\n
CCTV-9 纪录,http://joyznm.i234.me:20000/udp/239.3.1.9:8032###des:720P###HLS\\n
CCTV-9 纪录,http://joyznm.i234.me:20000/udp/239.3.1.62:8112###des:1080P###HLS\\n
CCTV-10 科教,http://joyznm.i234.me:20000/udp/239.3.1.10:8228###des:720P###HLS\\n
CCTV-10 科教,http://joyznm.i234.me:20000/udp/239.3.1.63:8116###des:1080P###HLS\\n
CCTV-11 戏曲,http://joyznm.i234.me:20000/udp/239.3.1.11:8040###des:720P###HLS\\n
CCTV-11 戏曲,http://joyznm.i234.me:20000/udp/239.3.1.152:8120###des:1080P###HLS\\n
CCTV-12 社会与法,http://joyznm.i234.me:20000/udp/239.3.1.12:8232###des:720P###HLS\\n
CCTV-12 社会与法,http://joyznm.i234.me:20000/udp/239.3.1.64:8124###des:1080P###HLS\\n
CCTV-13 新闻,http://joyznm.i234.me:20000/udp/239.3.1.13:8048###des:720P###HLS\\n
CCTV-13 新闻,http://joyznm.i234.me:20000/udp/239.3.1.124:8128###des:1080P###HLS\\n
CCTV-14 少儿,http://joyznm.i234.me:20000/udp/239.3.1.14:8236###des:720P###HLS\\n
CCTV-14 少儿,http://joyznm.i234.me:20000/udp/239.3.1.65:8132###des:1080P###HLS\\n
CCTV-15 音乐,http://joyznm.i234.me:20000/udp/239.3.1.15:8052###des:720P###HLS\\n
CCTV-15 音乐,http://joyznm.i234.me:20000/udp/239.3.1.153:8136###des:1080P###HLS\\n
CCTV-17 农业农村,http://joyznm.i234.me:20000/udp/239.3.1.150:8064###des:720P###HLS\\n
CCTV-17 农业农村,http://joyznm.i234.me:20000/udp/239.3.1.151:8144###des:1080P###HLS\\n

CCTV-1 综合,http://8.146.211.219:2001/live_tv?pid=600001859###HLS###ua:SYTV/1.6\\n
CCTV-2 综合,http://live.tongdaotv.com:8087/live/tdtv.m3u8###HLS###ua:SYTV/1.6\\n
CCTV-1 综合,http://vapi.91kds.cc/live1/cctvxw.m3u8?bt=2&id=cctv1hd&apiKey=73c963d13814ce7d0e4743c5e7d033cc###HLS\\n
CCTV-2 财经,http://vapi.91kds.cc/live1/cctvxw.m3u8?bt=2&id=cctv2hd&apiKey=73c963d13814ce7d0e4743c5e7d033cc###HLS\\n
CCTV-2 财经,http://8.146.211.219:2001/live_tv?pid=600001800###HLS\\n
CCTV-4 中文国际（亚）,http://vapi.91kds.cc/live1/cctvxw.m3u8?bt=2&id=cctv4hd&apiKey=73c963d13814ce7d0e4743c5e7d033cc###HLS\\n
CCTV-4 中文国际（亚）,http://8.146.211.219:2001/live_tv?pid=600001814###HLS\\n
CCTV-5 体育,http://8.146.211.219:2001/live_tv?pid=600001818###HLS\\n
CCTV-5+ 体育赛事,ttp://8.146.211.219:2001/live_tv?pid=600001817###HLS\\n
CCTV-6 电影,http://8.146.211.219:2001/live_tv?pid=600108442###HLS\\n
CCTV-7 国防军事,http://8.146.211.219:2001/live_tv?pid=600004092###HLS\\n
CCTV-8 电视剧,http://8.146.211.219:2001/live_tv?pid=600001803###HLS\\n
CCTV-9 纪录,http://8.146.211.219:2001/live_tv?pid=600004078###HLS\\n
CCTV-10 科教,http://8.146.211.219:2001/live_tv?pid=600001805###HLS\\n
CCTV-11 戏曲,http://8.146.211.219:2001/live_tv?pid=600001806###HLS\\n
CCTV-12 社会与法,http://8.146.211.219:2001/live_tv?pid=600001807###HLS\\n
CCTV-13 新闻,http://8.146.211.219:2001/live_tv?pid=600001811###HLS\\n
CCTV-13 新闻,http://vapi.91kds.cc/live1/cctvxw.m3u8?bt=2&id=cctv13hd&apiKey=73c963d13814ce7d0e4743c5e7d033cc###HLS\\n
CCTV-14 少儿,http://8.146.211.219:2001/live_tv?pid=600001809###HLS\\n
CCTV-15 音乐,http://8.146.211.219:2001/live_tv?pid=600001815###HLS\\n
CCTV-16 奥林匹克,http://8.146.211.219:2001/live_tv?pid=600098637###HLS\\n
CCTV-17 农业农村,http://8.146.211.219:2001/live_tv?pid=600001810###HLS\\n
CCTV4k,http://8.146.211.219:2001/live_tv?pid=600002264###HLS\\n
CCTV8k,http://8.146.211.219:2001/live_tv?pid=600156816###HLS\\n
CGTN,http://8.146.211.219:2001/live_tv?pid=600014550###HLS\\n
CGTN法语,http://8.146.211.219:2001/live_tv?pid=600084704###HLS\\n
CGTN俄罗斯语,http://8.146.211.219:2001/live_tv?pid=600084758###HLS\\n
CGTN阿拉伯语,http://8.146.211.219:2001/live_tv?pid=600084782###HLS\\n
CGTN西班牙语,http://8.146.211.219:2001/live_tv?pid=600084744###HLS\\n
CGTN记录,http://8.146.211.219:2001/live_tv?pid=600084781###HLS\\n
CETV-1 中国教育,http://8.146.211.219:2001/live_tv?pid=600171827###HLS\\n
\\n
CCTV-1 综合,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv1###HLS\\n
CCTV-1 综合,http://z.b.bkpcp.top/m.php?id=cctv1###HLS\\n
CCTV-1 综合,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV1###HLS\\n
CCTV-2 财经,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv2###HLS\\n
CCTV-2 财经,http://z.b.bkpcp.top/m.php?id=cctv2###HLS\\n
CCTV-2 财经,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV2###HLS\\n
CCTV-3 综艺,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv3###HLS\\n
CCTV-3 综艺,http://z.b.bkpcp.top/m.php?id=cctv3###HLS\\n
CCTV-3 综艺,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV3###HLS\\n
CCTV-4 中文国际（亚）,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv4###HLS\\n
CCTV-4 中文国际（亚）,http://z.b.bkpcp.top/m.php?id=cctv4###HLS\\n
CCTV-4 中文国际（亚）,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV4###HLS\\n
CCTV-4 中文国际（欧）,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV4欧洲###HLS\\n
CCTV-4 中文国际（欧）,http://z.b.bkpcp.top/m.php?id=cctv4o###HLS\\n
CCTV-4 中文国际（美）,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV4美洲###HLS\\n
CCTV-4 中文国际（美）,http://z.b.bkpcp.top/m.php?id=cctv4m###HLS\\n
CCTV-5+ 体育赛事,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv5p###HLS\\n
CCTV-5+ 体育赛事,http://z.b.bkpcp.top/m.php?id=cctv5p###HLS\\n
CCTV-5+ 体育赛事,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV5p###HLS\\n
CCTV-5 体育,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv5###HLS\\n
CCTV-5 体育,http://z.b.bkpcp.top/m.php?id=cctv5###HLS\\n
CCTV-5 体育,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV5###HLS\\n
CCTV-6 电影,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv6###HLS\\n
CCTV-6 电影,http://z.b.bkpcp.top/m.php?id=cctv6###HLS\\n
CCTV-6 电影,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV6###HLS\\n
CCTV-7 国防军事,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv7###HLS\\n
CCTV-7 国防军事,http://z.b.bkpcp.top/m.php?id=cctv7###HLS\\n
CCTV-7 国防军事,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV7###HLS\\n
CCTV-8 电视剧,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv8###HLS\\n
CCTV-8 电视剧,http://z.b.bkpcp.top/m.php?id=cctv8###HLS\\n
CCTV-8 电视剧,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV8###HLS\\n
CCTV-9 纪录,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv9###HLS\\n
CCTV-9 纪录,http://z.b.bkpcp.top/m.php?id=cctv9###HLS\\n
CCTV-9 纪录,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV9###HLS\\n
CCTV-10 科教,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv10###HLS\\n
CCTV-10 科教,http://z.b.bkpcp.top/m.php?id=cctv10###HLS\\n
CCTV-10 科教,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV10###HLS\\n
CCTV-11 戏曲,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv11###HLS\\n
CCTV-11 戏曲,http://z.b.bkpcp.top/m.php?id=cctv11###HLS\\n
CCTV-11 戏曲,http://116.9.204.242:9901/tsfile/live/0011_1.m3u8?key=txiptv###HLS\\n
CCTV-11 戏曲,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV11###HLS\\n
CCTV-12 社会与法,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv12###HLS\\n
CCTV-12 社会与法,http://z.b.bkpcp.top/m.php?id=cctv12###HLS\\n
CCTV-12 社会与法,http://116.9.204.242:9901/tsfile/live/0012_1.m3u8?key=txiptv###HLS\\n
CCTV-12 社会与法,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV12###HLS\\n
CCTV-13 新闻,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv13###HLS\\n
CCTV-13 新闻,http://z.b.bkpcp.top/m.php?id=cctv13###HLS\\n
CCTV-13 新闻,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV13###HLS\\n
CCTV-14 少儿,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv14###HLS\\n
CCTV-14 少儿,http://z.b.bkpcp.top/m.php?id=cctv14###HLS\\n
CCTV-14 少儿,http://116.9.204.242:9901/tsfile/live/0014_1.m3u8?key=txiptv###HLS\\n
CCTV-14 少儿,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV14###HLS\\n
CCTV-15 音乐,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv15###HLS\\n
CCTV-15 音乐,http://z.b.bkpcp.top/m.php?id=cctv15###HLS\\n
CCTV-15 音乐,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV15###HLS\\n
CCTV-17 农业农村,http://z.b.bkpcp.top/m.php?id=cctv17###HLS\\n
CCTV-17 农业农村,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV17###HLS\\n
CCTV-17 农业农村,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv17\\n
\\n
\\n
CCTV-1 综合,https://m-live.cctvnews.cctv.com/live/landscape.html?liveRoomNumber=11200132825562653886###WEB\\n
CCTV-2 财经,https://m-live.cctvnews.cctv.com/live/landscape.html?liveRoomNumber=12030532124776958103###WEB\\n
CCTV-4 中文国际（亚）,https://m-live.cctvnews.cctv.com/live/landscape.html?liveRoomNumber=10620168294224708952###WEB\\n
\\n
\\n
CCTV-1 综合,http://124.116.183.146:9901/tsfile/live/0001_1.m3u8###HLS\\n
CCTV-7 国防军事,http://124.116.183.146:9901/tsfile/live/0007_1.m3u8###HLS\\n
CCTV-8 电视剧,http://123.129.70.178:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0###HLS\\n
CCTV-13 新闻,http://112.123.206.32:808/hls/13/index.m3u8###HLS\\n
CCTV-16 奥林匹克,http://58.17.116.69:9908/tsfile/live/0001_17.m3u8?key=txiptv&playlive=1&authid=0###HLS\\n
\\n
CCTV-1 综合,http://106.53.99.30/dl/bjyd.php?id=1###HLS\\n
CCTV-2 财经,http://106.53.99.30/dl/bjyd.php?id=2###HLS\\n
CCTV-2 财经,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv2###HLS\\n
CCTV-3 综艺,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv3###HLS\\n
CCTV-4 中文国际（亚）,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv4###HLS\\n
CCTV-4 中文国际（美）,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8###HLS\\n
CCTV-5+ 体育赛事,http://li0580.top:35455/gaoma/cctv5p.m3u8###HLS\\n
CCTV-5 体育,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv5###HLS\\n
CCTV-7 国防军事,http://106.53.99.30/dl/bjyd.php?id=4###HLS\\n
CCTV-7 国防军事,http://li0580.top:35455/gaoma/cctv7.m3u8###HLS\\n
CCTV-7 国防军事,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv7###HLS\\n
CCTV-8 电视剧,http://li0580.top:35455/gaoma/cctv8.m3u8###HLS\\n
CCTV-8 电视剧,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv8###HLS\\n
CCTV-9 纪录,http://106.53.99.30/dl/bjyd.php?id=5###HLS\\n
CCTV-10 科教,http://106.53.99.30/dl/bjyd.php?id=6###HLS\\n
CCTV-11 戏曲,http://li0580.top:35455/gaoma/cctv11.m3u8###HLS\\n
CCTV-12 社会与法,http://106.53.99.30/dl/bjyd.php?id=8###HLS\\n
CCTV-14 少儿,http://106.53.99.30/dl/bjyd.php?id=10###HLS\\n
CCTV-15 音乐,http://106.53.99.30/dl/bjyd.php?id=11###HLS\\n
\\n
CCTV-1 综合,https://media.hndyjyfw.gov.cn/live/jz-cctv-1/live.m3u8###WEB\\n
CCTV-1 综合,https://tv.cctv.com/live/cctv1###WEB\\n
CCTV-1 综合,https://www.xttv.com.cn/index/channel/index/id/155.html###WEB\\n
CCTV-1 综合,https://www.yangshipin.cn/tv/home?pid=600001859###WEB\\n
CCTV-2 财经,https://tv.cctv.com/live/cctv2###WEB\\n
CCTV-2 财经,https://www.yangshipin.cn/tv/home?pid=600001800###WEB\\n
CCTV-3 综艺,https://media.hndyjyfw.gov.cn/live/jz-cctv-3/live.m3u8###WEB\\n
CCTV-3 综艺,https://tv.cctv.com/live/cctv3###WEB\\n
CCTV-4 中文国际（亚）,https://tv.cctv.com/live/cctv4###WEB\\n
CCTV-4 中文国际（亚）,https://www.yangshipin.cn/tv/home?pid=600001814###WEB\\n
CCTV-5+ 体育赛事,https://tv.cctv.com/live/cctv5plus###WEB\\n
CCTV-5+ 体育赛事,https://www.yangshipin.cn/tv/home?pid=600001817###WEB\\n
CCTV-5 体育,https://media.hndyjyfw.gov.cn/live/jz-cctv-5/live.m3u8###WEB\\n
CCTV-5 体育,https://tv.cctv.com/live/cctv5###WEB\\n
CCTV-5 体育,https://www.yangshipin.cn/tv/home?pid=600001818###WEB\\n
CCTV-6 电影,https://media.hndyjyfw.gov.cn/live/jz-cctv-6/live.m3u8###WEB\\n
CCTV-6 电影,https://tv.cctv.com/live/cctv6###WEB\\n
CCTV-6 电影,https://www.yangshipin.cn/tv/home?pid=600108442###WEB\\n
CCTV-7 国防军事,https://media.hndyjyfw.gov.cn/live/jz-cctv-7/live.m3u8###WEB\\n
CCTV-7 国防军事,https://tv.cctv.com/live/cctv7###WEB\\n
CCTV-7 国防军事,https://www.yangshipin.cn/tv/home?pid=600004092###WEB\\n
CCTV-8 电视剧,https://tv.cctv.com/live/cctv8###WEB\\n
CCTV-8 电视剧,https://www.yangshipin.cn/tv/home?pid=600001803###WEB\\n
CCTV-9 纪录,https://media.hndyjyfw.gov.cn/live/jz-cctv-9/live.m3u8###WEB\\n
CCTV-9 纪录,https://tv.cctv.com/live/cctvjilu###WEB\\n
CCTV-9 纪录,https://www.yangshipin.cn/tv/home?pid=600004078###WEB\\n
CCTV-10 科教,https://media.hndyjyfw.gov.cn/live/jz-cctv-10/live.m3u8###WEB\\n
